#{"t_start": 1746538978.3388743, "env_id": "Pendulum-v1"}
r,l,t
-1176.255633,200,109.183726
-1150.292939,200,109.280249
-820.261472,200,110.067367
-1016.420575,200,110.161284
-752.059007,200,110.252637
-1155.527946,200,110.344684
-1011.716826,200,110.441059
-763.465217,200,110.534246
-867.71423,200,110.626414
-1127.979315,200,110.719205
-1008.410792,200,110.813192
-933.484424,200,110.906693
-1114.107848,200,111.696552
-972.866394,200,111.790606
-1384.057556,200,111.885413
-658.544884,200,111.979806
-874.279621,200,112.074445
-1350.373356,200,112.169112
-781.615261,200,112.266687
-910.262029,200,112.361473
-885.776626,200,112.456672
-1047.353186,200,112.551837
-1163.585321,200,112.647782
-722.020365,200,113.426711
-1068.895844,200,113.519584
-908.982557,200,113.61276
-1414.503899,200,113.704946
-1039.996609,200,113.797808
-863.368043,200,113.890371
-910.657498,200,113.983256
-774.847168,200,114.079183
-999.642876,200,114.171593
-1126.230131,200,114.264655
-923.3643,200,115.121793
-885.522937,200,115.216432
-849.758837,200,115.312573
-1317.266493,200,115.406054
-792.266647,200,115.501395
-1138.914764,200,115.595819
-887.213683,200,115.69006
-766.217277,200,115.784194
-893.468492,200,115.879896
-1111.705261,200,115.973525
-1477.655086,200,116.769159
-1200.214618,200,116.861553
-1168.541354,200,116.953785
-753.663484,200,117.04698
-1174.94885,200,117.139685
-1014.803444,200,117.231861
-755.154074,200,117.324805
-912.919661,200,117.416162
-835.47436,200,117.50952
-688.551279,200,117.601393
-1193.707224,200,118.385928
-1117.287561,200,118.479691
-910.476635,200,118.574651
-998.008439,200,118.668268
-1380.921521,200,118.763679
-1148.70552,200,118.859762
-957.34058,200,118.953642
-1023.327498,200,119.047585
-711.723981,200,119.142902
-1031.351185,200,119.236555
-1031.794916,200,119.332183
-1019.749583,200,120.115666
-941.854727,200,120.210798
-1051.549443,200,120.306224
-1097.543629,200,120.401935
-1048.793757,200,120.497106
-901.069392,200,120.593315
-1040.680212,200,120.690357
-907.606524,200,120.784935
-946.138673,200,120.880459
-891.634257,200,120.97683
-760.814813,200,121.767599
-1056.799178,200,121.862499
-744.568569,200,121.954081
-1095.942429,200,122.046942
-1194.734855,200,122.139755
-1001.445545,200,122.233803
-893.538783,200,122.326646
-905.087969,200,122.419223
-945.295397,200,122.51547
-1040.021843,200,122.608833
-1057.389825,200,123.382749
-1222.319993,200,123.477359
-1043.720093,200,123.571316
-1123.804578,200,123.667886
-917.897429,200,123.764922
-1054.153267,200,123.860029
-1046.441678,200,123.95454
-970.360191,200,124.049337
-1054.832897,200,124.144504
-890.614265,200,124.240465
-1284.62816,200,125.056743
-880.205771,200,125.150683
-1254.878622,200,125.245928
-974.481049,200,125.341133
-1067.056867,200,125.4372
-922.656756,200,125.53301
-895.467244,200,125.628023
-907.168247,200,125.723341
-1179.567145,200,125.818287
-798.203205,200,125.913031
-852.740698,200,126.008071
-913.223382,200,126.78469
-791.222002,200,126.879349
-1054.162972,200,126.974606
-954.929644,200,127.070432
-889.789529,200,127.164247
-890.485086,200,127.261158
-851.549171,200,127.356329
-1047.783827,200,127.450905
-905.865263,200,127.546033
-1610.1747,200,127.641209
-895.609028,200,128.422652
-1159.975576,200,128.518
-768.300429,200,128.613114
-927.803546,200,128.708763
-907.113014,200,128.803765
-1559.008447,200,128.898759
-758.835779,200,128.994172
-772.411267,200,129.090737
-877.337884,200,129.185906
-1225.985852,200,129.280812
-901.180603,200,130.083182
-1204.91689,200,130.178497
-632.224568,200,130.274746
-755.47709,200,130.369932
-871.162711,200,130.463362
-888.489198,200,130.558923
-770.659831,200,130.653358
-950.995255,200,130.74814
-1104.586399,200,130.844277
-884.244363,200,130.939626
-1200.45284,200,131.727448
-749.464103,200,131.822406
-1039.58942,200,131.917835
-1021.618183,200,132.012705
-884.66308,200,132.109289
-1256.811996,200,132.204332
-1096.42002,200,132.29876
-886.055072,200,132.394114
